,nodeA,nodeB
309,Donald Trump,Trump
310,Donald Trump,Howard Stern
311,Donald Trump,Trump
312,Clinton,Donald Trump
313,Clinton,Donald Trump
314,Clinton,Donald Trump
315,Donald Trump,Neil Cavuto
316,Cavuto,Donald Trump
317,Donald Trump,Trump
318,Chris Matthews,Donald Trump
319,Donald Trump,Joe Scarborough
320,Donald Trump,Donald Trump
321,Donald Trump,Obama
322,Donald Trump,George W. Bush
323,Donald Trump,Matt Lauer
324,Bush,Donald Trump
325,Bush,Donald Trump
326,Condoleezza Rice,Donald Trump
327,Bush,Donald Trump
328,Bush,Donald Trump
329,Donald Trump,Nouri al-Maliki
330,Donald Trump,Leon Panetta
331,Donald Trump,Maliki
332,Donald Trump,Raul Castro
333,Donald Trump,Salman
334,Donald Trump,Ronald Reagan
335,Donald Trump,Reagan
336,Donald Trump,Helmut Kohl
337,Donald Trump,Glenn Kessler
338,Donald Trump,Kessler
339,Donald Trump,Richard Nixon
340,Donald Trump,Zhou Enlai
341,Donald Trump,Mao
342,Donald Trump,Nixon
343,Clinton,Donald Trump
344,Clinton,Donald Trump
345,Donald Trump,Obama
346,Donald Trump,Trump
347,Clinton,Donald Trump
348,Donald Trump,Moammar Gadhafi
349,Donald Trump,Lauer
350,Donald Trump,Ted Cruz
351,Donald Trump,Gadhafi
352,Clinton,Donald Trump
353,Donald Trump,Gadhafi
354,Clinton,Donald Trump
355,Clinton,Donald Trump
356,Clinton,Donald Trump
357,Clinton,Donald Trump
358,Clinton,Donald Trump
359,Clinton,Donald Trump
360,Donald Trump,Rachel Maddow
361,Donald Trump,Maddow
362,Donald Trump,Maddow
363,Clinton,Donald Trump
364,Clinton,Donald Trump
365,Clinton,Donald Trump
366,Clinton,Donald Trump
367,Clinton,Donald Trump
368,Clinton,Donald Trump
369,Clinton,Donald Trump
370,Clinton,Donald Trump
371,Clinton,Donald Trump
372,Clinton,Donald Trump
373,Clinton,Donald Trump
374,Clinton,Trump
375,Clinton,Trump
376,Clinton,Obama
377,Clinton,Trump
378,Clinton,Clinton
379,Clinton,Clinton
380,Clinton,Moammar Gadhafi
381,Clinton,Clinton
382,Clinton,Clinton
383,Clinton,Clinton
384,Clinton,Matt Lauer
385,Clinton,Clinton
386,Clinton,Trump
387,Clinton,Howard Stern
388,Clinton,Trump
